"Id","Category","Slug","Name","Original name","Production year","Episodes","Seasons","Duration","Description","Genres","Genres2","Genres3","Country","Age"
"01ae5c16-999d-4dc4-ac4d-841f635ecb05","1","beregis-avtomobilya","Берегись автомобиля","Beware of the Car","1966",,,,,"Мелодрама","Криминал","Комедия",,"12"
"01ba4013-e6bf-4b3f-b17f-4b31aaa465d2","1","zhuravlinye-perya-3334d97b-b479-45fc-b067-56e4f0744be5","Журавлиные перья","Cranes feathers","1977",,,,,,,"Мультфильм","1","6"
"01c07121-5e53-46b0-a6a6-247617a398d0","1","zlaya-shutka","Злая шутка","Evil Joke","2016",,,,,"Мелодрама",,,,"12"
"01e268c4-0a59-4dd0-919f-6e5b0ebc85b6","1","krovnyi-otets","Кровный отец","Blood Father","2016",,,,,"Триллер","Боевик",,"2","18"
"0267b5b0-5b89-4648-9f47-c8069fe3f509","1","lovkach-i-hippoza","Ловкач и Хиппоза","You Can't Leave Me Like This","1990",,,,,"Боевик","Драма",,,"6"
"0272f230-f75e-4d90-9685-a5169dc4c134","1","prizraki-eloiz","Призраки Элоиз","Eloise","2017",,,,,"Триллер","Ужасы",,"2","18"
"027c0ffe-815a-475a-99db-e232139736ce","1","sex-doll","Sex Doll","Sex Doll","2017",,,,,,"Триллер",,"2","18"
"027c7078-e299-4785-8df9-654d10f1c86a","1","toptyzhka-dd90a686-ff89-487c-a8f2-82e2fdc9c095","Топтыжка","Toptyzhka","1964",,,,,,,"Мультфильм","1","0"
"02837d47-42ed-4ec2-89a1-a0db53e13ddf","1","pod-kamennym-nebom","Под каменным небом",,"1974",,,,,,"Драма","Военные","1","12"
"0298d178-3740-4c56-a0ff-481415faede7","1","beshenye-gonki","Бешеные гонки","Drive Hard","2014",,,,,"Боевик",,"Комедия","2","16"
"02a33dbc-b8ed-47da-a856-923a5fa43064","1","serezha","Сережа","Seryozha","1960",,,,,"Драма",,,,"12"
"02a88b8f-ccfb-48ce-a100-32749fb1114a","1","skazka-o-prekrasnoi-aisulu","Сказка о прекрасной Айсулу","Айдай слу Айсұлу туралы ертегі","1987",,,,,"Фантастика",,,,"12"
"02b047c7-9be3-4651-be40-bea8b239b742","1","tri-dnya-na-pobeg","Три дня на побег","Три дня на побег","2010",,,,,"Триллер","Криминал","Драма",,"12"
"02b059ed-9f61-426f-9269-840e348956e7","1","korotkie-istorii","Короткие истории","Short stories","1970",,,,,,"Мультфильм",,"1","12"
"02b5fdbf-9084-4b78-b74e-71e55f907127","1","chudo-4e9c8015-55e8-410b-8297-7d9bad9c986d","Чудо","La milagrosa","2008",,,,,"Драма",,"Военные","2","16"
"02d7a7ed-0b8d-4bee-9d3b-df2519d1f129","1","zhizn-devida-geila","Жизнь Дэвида Гейла","The Life of David Gale","2003",,,,,"Драма",,"Триллер","2","18"
"02e7c6c9-0fa7-4d82-a4d2-8e53c315ff77","1","ekstrasens-a2d5c642-30bb-4f0b-b18a-dbd75489b5fd","Экстрасенс","The Awakening","2011",,,,,,"Ужасы","Триллер","2","16"
"02edc5e4-c041-4d59-a3a1-e20f7ecab1ad","1","spark-geroi-vselennoi-uhd","СПАРК. Герой Вселенной UHD","Spark: A Space Tail UHD","2017",,,,,"Семейный","Комедия",,"2","6"
"0305236c-267f-48ed-90c8-d7286dd414c9","1","ulichnyi-boets","Уличный боец","Street Fighter: The Legend of Chun-Li","2009",,,,,,"Боевик","Триллер","2","16"
"030574d8-bc4a-4f4b-9271-c46da57e95ae","1","tantsui","Танцуй...","Dance...","2007",,,,,"Драма",,,,"16"
"03071d24-1b90-4ace-b087-8d322fa5eff2","1","prizraki-molli-hartli","Призраки Молли Хартли","Призраки Молли Хартли","2008",,,,,"Триллер","Драма","Ужасы",,"16"
"033dde66-dbe1-4e8d-84cf-84e2d8da1abe","1","tolko-predstav","Только представь!","Imagine","2012",,,,,"Драма",,,"2","12"
"0355a7d7-4e9d-45b6-9f04-5c9884072e83","1","er-tostik-i-aidahar","Ер-Тостик и Айдахар","Ер Төстік пен Айдаһар","2013",,,,,,"Приключения",,,"0"
"0355e882-644e-4b53-b1e0-0d305496423b","1","ohotniki-za-razumom","Охотники за разумом","Охотники за разумом","2004",,,,,"Триллер","Детектив","Криминал",,"16"
"036b343c-bb1f-4fda-a77c-efbe58117300","1","volshebnaya-palochka-6c087803-4165-41e3-9a5f-8dacaba8625d","Волшебная палочка",,"1972",,,,,,"Мультфильм",,"1","6"
"036e9b9a-9ed8-4653-8fb0-58c05d2c3ab6","1","supermenedzher-ili-motyga-sudby-4379f73d-fd80-4437-a20a-89ea81430979","Суперменеджер, или Мотыга судьбы","Supermenedzher, ili Motyga sudby","2010",,,,,,"Комедия","Фантастика","1","16"
"03767c63-ee5e-4d13-8f00-b2466f36d9e4","1","chelusti","Челюсти","Shark Night","2011",,,,,,"Ужасы","Триллер","2","16"
"03781828-9f9b-43cc-b16c-cc5d0fcb1989","1","polzet-zmeya","Ползет змея","The Snake is Crawling","2009",,,,,"Боевик",,,"1","16"
"0396624d-1213-4f45-bccb-3f160d5f39d1","1","pro-fedota-streltsa-udalogo-molodtsa","Про Федота-стрельца, удалого молодца","The Tale About Fedot-the-Shooter, the Daring Fellow","2008",,,,,,"Мультфильм",,"1","12"
"03a68b2e-c992-45f3-b879-2286f71821d5","1","svadba","Свадьба","Wedding","1974",,,,,"Драма",,,"1","16"
"03c52650-059b-4df6-9091-e01c2fa993cf","1","karpusha-0592cba7-2a7b-4c92-8599-5ebfa6296600","Карпуша",,"1988",,,,,,,"Мультфильм","1","12"
"03cd16a1-efed-4e78-8abc-4ca17b7d4f6a","1","vdrebezgi","Вдребезги","Smithereens","2011",,,,,"Комедия",,,"1","16"
"03e71e51-3abc-449e-8eb0-dd74cbced655","1","pravda-i-nichego-krome","Правда и ничего кроме…","Правда и ничего кроме…","2006",,,,,"Комедия","Драма",,,"18"
"03f97595-fb25-4da5-873b-3d3d54abd211","1","prodavets-snov","Продавец снов",,"1990",,,,,"Детям",,,,"0"
"03fe95f1-6461-4ef4-b524-51b03c0280ef","1","muzykalnye-kartinki","Музыкальные картинки",,"1968",,,,,,"Мультфильм",,"1","6"
"04000a71-c5a9-4f86-afda-6f9f554e0f31","1","mama-ne-gorui","Мама не горюй",,"1997",,,,,"Комедия","Криминал",,"1","18"
"040bec72-f0b2-40a4-aec8-4fca9ede1dd1","1","moroz-po-kozhe","Мороз по коже",,"2016",,,,,"Мелодрама",,,,"12"
"040f382f-d0e2-49b4-9d43-abbc82ced154","1","kazhdyi-vecher-posle-raboty","Каждый вечер после работы","Every evening after work","1973",,,,,"Драма",,,"1","12"
"0422b0ca-a87c-4126-9f2a-aea1aabe8805","1","prishelets-vanusha-02dae74a-4539-4e77-87c0-11613e3e80df","Пришелец Ванюша",,"1990",,,,,,,"Мультфильм","1","6"
"042817c9-61a5-43d4-b565-55de17d0f619","1","vinogradnik","Виноградник","Tierra de Sangre","2014",,,,,"Фантастика","Триллер",,"2","16"
"043ed569-30c1-42ca-a70f-046660f4915a","1","ohotnik","Охотник","Hunter","2011",,,,,"Драма",,,"1","16"
"04476bb3-6a2c-4105-9e8e-d02c24c4b5b6","1","1114","11:14","11:14","2003",,,,,"Комедия","Драма","Криминал",,"16"
"0453d82e-1421-476d-8cca-80ecf05a2e15","1","pastuh-i-tsar","Пастух и царь",,"1935",,,,,"Драма",,,"1","0"
"04545c8f-61d0-4524-ac0e-9411c2f4e37f","1","svinger-uhd-hdr","Свингер UHD HDR","Swinger UHD HDR","2017",,,,,,"Комедия","Мелодрама","2","18"
"0472ac33-3345-4013-a759-43ad9e07f8b2","1","taezhnaya-skazka-7fd278b4-1ceb-42fe-b182-f59f20c2ee34","Таежная сказка","Taiga tale","1951",,,,,,"Мультфильм",,"1","0"
"0485e9c6-601e-47fe-89ce-b8265801f713","1","nelubov","Нелюбовь","Loveless","2017",,,,,"Драма",,,,"18"
"048b6827-7969-433b-abad-e1e3faf0d89d","1","dvoe-v-dome","Двое в доме","Two in the House","2007",,,,,"Детям",,,,"0"
"04a12bd2-3003-4c67-bb30-23812e3d112a","1","opasnoe-zadanie","Опасное задание","Beast of Burden","2018",,,,,"Триллер","Боевик",,"2","18"
"04b437bd-18ad-45af-902a-a2e48b9c1944","1","vysshaya-vlast","Высшая власть","Ultimate Force","2005",,,,,,"Боевик",,"2","16"
"04b5ceea-393a-4af2-9618-817a7057430b","1","vernut-otpravitelu","Вернуть отправителю","Return to Sender","2015",,,,,,"Триллер",,"2","18"
"04c0a592-b50b-43bc-8a80-41b5aec24363","1","kosyaki","Косяки","Loosies","2011",,,,,,"Комедия","Мелодрама","2","16"
"04ca91ed-03f2-4919-99fd-af6675a63543","1","chudesa-v-parizhe-uhd","Чудеса в Париже UHD","Lost in Paris UHD","2017",,,,,"Комедия",,,"2","12"
"04cfbfa6-9339-4387-a3b3-5598bc6b418b","1","ih-znali-tolko-v-litso","Их знали только в лицо","They were known only by their faces","1966",,,,,"Драма",,,"1","12"
"04d70938-f0b5-4da3-93d5-dbd2fc4dcc0a","1","dallas-362","Даллас 362","Даллас 362","2002",,,,,"Драма",,,,"16"
"04faf84e-79a0-42db-b48c-8b8628e6ea5d","1","chelovek-v-zelenom-kimono","Человек в зеленом кимоно","A Man in a Green Kimono","1990",,,,,"Боевик",,,"1","12"
"050ff7f5-8124-4e7e-815f-3f8dd7a44360","1","golova-lastik-baa7c71a-5920-433b-8e3c-668c726108b1","Голова-ластик","Eraserhead","1977",,,,,,"Фантастика","Ужасы","2","18"
"0512c8b4-b64a-449d-b913-57eb56a2366e","1","a-teper-sudi","А теперь суди...","Judge now...","1967",,,,,"Драма",,,"1","12"
"051bf8b1-81f3-40bd-9f17-dfdd177cbd0c","1","chempiony-bystree-vyshe-silnee","Чемпионы: Быстрее. Выше. Сильнее","The Champions: Faster. Higher. Stronger","2016",,,,,"Драма","Спорт",,,"6"
"0524737a-4e2f-4436-87fb-5043e36c9339","1","neokonchennaya-pesa-dlya-mehanicheskogo-pianino","Неоконченная пьеса для механического пианино","An Unfinished Piece for a Mechanic Piano","1976",,,,,"Драма",,,"1","0"
"052729ef-15f6-4d64-a58e-211af8f74476","1","otel-dlya-zolushki","Отель для Золушки",,"2012",,,,,"Мелодрама",,,,"12"
"0532f661-ec99-4960-ac42-12386e13f0c6","1","otogrei-moe-serdtse","Отогрей мое сердце",,"2016",,,,,"Мелодрама",,,,"12"
"053a0b86-98fc-403e-a8c2-6b1283274152","1","vdvoem-s-ottsom","Вдвоем с отцом","Әкем екеуіміз","2008",,,,,"Драма",,,,"12"
"053bdf9b-d1a1-4296-aa9e-8f8b0c832ee7","1","barashek-shon-6bbfecb8-d9f6-4e47-8ebc-c0aec47afd8e","Барашек Шон","Shaun the Sheep Movie","2014",,,,,"Мультфильм","Фантастика","Комедия",,"0"
"053dc650-cb81-47a5-9bc5-19707bde78e1","1","vrag-gosudarstva-no-1-legenda","Враг государства №1: Легенда","L'ennemi public n°1","2008",,,,,,"Боевик",,"2","18"
"0544026d-331c-4baa-b5ca-cee3fe5728ed","1","noch-v-parizhe","Ночь в Париже","Ouvert la nuit","2017",,,,,"Драма",,"Комедия","2","16"
